460022353953817,8.1 1 1 1
460023035762269,16.4 1 1 1
460003536150267,18.2 1 1 1
460020178458104,14.1 1 1 1
460004204970927,16.5 1 1 1
460006187050302,20.3 1 1 1
460022329554496,1.1 1 1 1
460023359657251,1.5 1 1 1
460020215592374,1.6 1 1 1
460028341584644,0.9 1 1 1
460004213327710,0.7 1 1 1
460024065088684,1.5 1 0 1	
460026350486298,2.0 1 0 1
460023035944318,2.1 1 0 1
460004213332282,1.0 1 0 1
460028340090304,2.6 1 0 1
460024343797111,0.5 0 1 1
460022103018422,0.7 0 1 1
460021035139460,0.8 0 1 1
460027368915900,0.4 0 1 1
460023034819084,0.9 0 1 1
460024065040664,0.3 1 1 2
460024343588306,0.5 1 1 3
460003621296287,0.7 1 1 2
460022359492683,1.0 1 1 3
